tank,color,label,ID,treatment,hatching,hatching_date,days_until_hatching_trt,sampling_date,days_until_sampling,floating,feeding,weight,area,density
S8,G,G2,S8G2,A,1,07.11.2019,29,23.11.2019,16,1,1,0.88,11.004,0.08
S8,G,G3,S8G3,A,1,07.11.2019,29,23.11.2019,16,0,1,1.23,12.635,0.097
S5,G,G3,S5G3,C,1,08.11.2019,30,24.11.2019,16,0,1,1.4,16.248,0.086
S9,G,G3,S9G3,C,1,08.11.2019,30,24.11.2019,16,0,1,1.21,13.377,0.09
S10,G,G5,S10G5,A,1,09.11.2019,31,23.11.2019,14,0,1,1.12,13.173,0.085
S4,G,G1,S4G1,A,1,09.11.2019,31,23.11.2019,14,0,1,1.33,13.728,0.097
S7,G,G2,S7G2,A,1,09.11.2019,31,21.11.2019,12,0,1,1.33,13.508,0.098
S5,G,G2,S5G2,C,1,10.11.2019,32,27.11.2019,17,0,1,1.17,13.776,0.085
S9,G,G6,S9G6,C,1,10.11.2019,32,30.11.2019,20,0,1,1.25,15.534,0.08
S7,G,G5,S7G5,A,1,21.11.2019,43,05.12.2019,14,0,1,0.97,11.47,0.085
